site;Total;Nb_dif_Sp;Margalef_Index
8090217_504U;1336;43;200.98
8105229_506U;1816;38;273.24
8112772_355U;506;34;76.02
8116489_527U;370;27;55.55
8120236_508U;3382;46;508.99
8123982_507U;1628;42;244.93
8139008_400U;912;41;137.15
8142793_360U;411;32;61.72
8176522_401U;1762;46;265.11
8176531_373U;258;13;38.69
8184027_382U;378;39;56.75
8184031_383U;2664;39;400.9
8187787_402U;2218;47;333.76
8202799_384U;228;24;34.17
8221581_395U;1454;41;218.74
8229140_390U;1548;39;232.89
8232858_396U;1432;48;215.43
8232894_801U;860;31;129.32
8255456_399U;1074;33;161.53
8259155_374U;1426;32;214.52
8262919_391U;1190;45;179
8266625_407U;1623;45;244.18
8277970_411U;1060;38;159.43
4666013_152U;864;42;129.92
4666026_125U;1706;36;256.68
4673520_126U;1054;36;158.52
4741024_127U;1138;40;171.17
4756038_012U;1856;42;279.26
4763534_013U;2032;53;305.75
4789788_014U;1034;50;155.51
4801019_082U;840;38;126.31
4804770_083U;1976;48;297.32
4812275_055U;912;41;137.15
4827265_128U;222;27;33.27
4849773_129U;804;29;120.89
4861022_056U;768;38;115.47
4868517_153U;744;36;111.85
4879774_130U;1236;46;185.92
4883524_150U;1072;42;161.23
4887289_A21U;1236;38;185.92
4894774_104U;1194;39;179.6
4898524_105U;1272;38;191.34
4898528_067U;810;32;121.79
4906019_131U;1230;43;185.02
4924776_148U;960;36;144.37
4928519_158U;598;25;89.87
4928525_102U;1338;45;201.28
4939775_149U;1494;39;224.76
4939778_133U;1100;40;165.45
4954777_D01U;2492;55;375
4958528_100U;243;37;36.43
4977293_041U;1242;46;186.82
5029781_134U;8106;54;1220.16
5074784_070U;1464;42;220.25
5123535_106U;462;37;69.4
5131041_058U;1442;39;216.93
5146031_136U;1716;49;258.18
5146039_074U;708;20;106.43
5149788_075U;790;32;118.78
5157284_137U;3386;41;509.59
5183537_123U;1076;35;161.83
5194800_033U;1290;45;194.05
5198540_080U;976;28;146.78
5206040_081U;616;22;92.58
5217286_138U;2676;41;402.7
5224792_069H;223;19;33.42
5232288_145U;1942;38;292.21
5232290_068U;433;30;65.03
5247293_042U;904;42;135.94
5266044_061U;1898;37;285.58
5269787_109U;3792;38;570.71
5277290_154U;243;31;36.43
5281043_086U;2374;43;357.24
5296044_121U;1548;30;232.89
5303544_122U;1662;39;250.05
5303547_096U;1470;23;221.15
5318545_111U;2258;45;339.78
5329797_087U;1850;51;278.36
